date,Revenue,COGS,day_of_week,day_of_month,day_of_year,week_of_year,month,quarter,year,is_weekend,time_index,revenue_lag_1,cogs_lag_1,revenue_lag_7,cogs_lag_7,revenue_lag_14,cogs_lag_14,revenue_lag_28,cogs_lag_28,revenue_lag_30,cogs_lag_30,revenue_lag_60,cogs_lag_60,revenue_lag_90,cogs_lag_90,revenue_lag_365,cogs_lag_365,revenue_roll_mean_7,revenue_roll_std_7,cogs_roll_mean_7,revenue_roll_mean_14,revenue_roll_std_14,cogs_roll_mean_14,revenue_roll_mean_28,revenue_roll_std_28,cogs_roll_mean_28,revenue_roll_mean_30,revenue_roll_std_30,cogs_roll_mean_30,revenue_roll_mean_60,revenue_roll_std_60,cogs_roll_mean_60,revenue_roll_mean_90,revenue_roll_std_90,cogs_roll_mean_90,revenue_ewm_7,revenue_ewm_30,active_campaigns,active_promo_types,active_promo_channels,active_promo_categories
2012-07-15,3948841.28,3154482.05,6,15,197,28,7,3,2012,1,11,3820831.41,3075464.87,2360851.9,1808622.79,,,,,,,,,,,,,4513148.128571428,1280233.2104772015,3522413.614285714,4108119.877272727,1305309.8589303955,3219667.8345454545,4108119.877272727,1305309.8589303955,3219667.8345454545,4108119.877272727,1305309.8589303955,3219667.8345454545,,,,,,,4581290.442349749,4661123.75251748,0.0,0.0,0.0,0.0
2012-07-16,3503801.49,2708219.59,0,16,198,29,7,3,2012,0,12,3948841.28,3154482.05,3548386.46,2787841.68,,,,,,,,,,,,,4740003.754285715,927343.9921488013,3714679.222857143,4094846.660833333,1245413.1775315772,3214235.685833333,4094846.660833333,1245413.1775315772,3214235.685833333,4094846.660833333,1245413.1775315772,3214235.685833333,,,,,,,4423178.151762311,4615170.044613127,0.0,0.0,0.0,0.0
2012-07-17,4476729.49,3463061.65,1,17,199,29,7,3,2012,0,13,3503801.49,2708219.59,5234938.62,4044438.84,,,,,,,,,,,,,4733634.472857143,936995.3367555395,3703304.6385714286,4049381.647692308,1203607.6439870547,3175311.3707692306,4049381.647692308,1203607.6439870547,3175311.3707692306,4049381.647692308,1203607.6439870547,3175311.3707692306,,,,,,,4193333.986321734,4543468.847541313,0.0,0.0,0.0,0.0
2012-07-18,5184141.46,4072012.16,2,18,200,29,7,3,2012,0,14,4476729.49,3463061.65,5582884.78,4338313.07,5123547.94,3982991.19,,,,,,,,,,,4625318.882857143,912901.0552103135,3620250.7542857146,4079906.493571428,1162015.4169264128,3195864.9621428573,4079906.493571428,1162015.4169264128,3195864.9621428573,4079906.493571428,1162015.4169264128,3195864.9621428573,,,,,,,4264182.8622413,4539163.082538648,0.0,0.0,0.0,0.0
2012-07-19,6421487.11,5007270.91,3,19,201,29,7,3,2012,0,15,5184141.46,4072012.16,5734632.02,4458811.27,2751773.45,2150580.23,,,,,,,,,,,4568355.551428571,853714.0912005331,3582207.767142857,4084234.602142857,1166306.5607132942,3202223.6028571427,4153522.158,1155474.0415460677,3254274.775333333,4153522.158,1155474.0415460677,3254274.775333333,,,,,,,4494172.511680975,4580774.5907619605,0.0,0.0,0.0,0.0
2012-07-20,5171470.46,4213989.64,4,20,202,29,7,3,2012,0,16,6421487.11,5007270.91,5309511.71,4143402.78,3054029.42,2517632.84,,,,,,,,,,,4666477.707142857,1031137.4437340152,3660559.144285714,4346357.006428571,1252962.8060116812,3406272.937142857,4295269.9675,1252034.8666376893,3363837.03375,4295269.9675,1252034.8666376893,3363837.03375,,,,,,,4976001.161260731,4699530.237164415,0.0,0.0,0.0,0.0
2012-07-21,3442157.02,2746075.45,5,21,203,29,7,3,2012,1,17,5171470.46,4213989.64,3820831.41,3075464.87,2667930.94,2108246.62,,,,,,,,,,,4646757.528571429,1018026.6303597243,3670642.981428571,4497602.795,1212097.76493878,3527441.2800000003,4346811.172941176,1230762.885434591,3413846.010588235,4346811.172941176,1230762.885434591,3413846.010588235,,,,,,,5024868.485945548,4729977.993476389,0.0,0.0,0.0,0.0
2012-07-22,3117550.57,2531656.38,6,22,204,29,7,3,2012,1,18,3442157.02,2746075.45,3948841.28,3154482.05,2360851.9,1808622.79,,,,,,,,,,,4592661.187142857,1077550.6835372702,3623587.3500000006,4552904.657857143,1137568.3727716445,3573000.4821428573,4296552.608888889,1212905.3355320375,3376747.6461111107,4296552.608888889,1212905.3355320375,3376747.6461111107,,,,,,,4629190.619459161,4646892.7693811385,0.0,0.0,0.0,0.0
2012-07-23,4730517.69,3685006.66,0,23,205,30,7,3,2012,0,19,3117550.57,2531656.38,3503801.49,2708219.59,3548386.46,2787841.68,,,,,,,,,,,4473905.371428572,1199265.0184704945,3534612.2542857146,4606954.562857143,1039121.3007065237,3624645.738571428,4234499.87,1209367.477062814,3332269.1584210526,4234499.87,1209367.477062814,3332269.1584210526,,,,,,,4251280.607094371,4548225.530711388,0.0,0.0,0.0,0.0
2012-07-24,4096496.12,3248450.65,1,24,206,30,7,3,2012,0,20,4730517.69,3685006.66,4476729.49,3463061.65,5234938.62,4044438.84,,,,,,,,,,,4649150.542857142,1120951.363625175,3674153.2642857144,4691392.507857143,993514.9216791035,3688728.9514285713,4259300.761,1182325.6852995206,3349906.0335,4259300.761,1182325.6852995206,3349906.0335,4259300.761,1182325.6852995206,3349906.0335,,,,4371089.877820779,4559986.315181621,0.0,0.0,0.0,0.0
2012-07-25,5246688.08,4140019.37,2,25,207,30,7,3,2012,0,21,4096496.12,3248450.65,5184141.46,4072012.16,5582884.78,4338313.07,,,,,,,,,,,4594831.49,1139754.0475025706,3643494.5500000003,4610075.186428571,992193.3332210114,3631872.652142857,4251548.159047619,1152936.0278830326,3345074.8247619043,4251548.159047619,1152936.0278830326,3345074.8247619043,4251548.159047619,1152936.0278830326,3345074.8247619043,,,,4302441.438365584,4530083.721944097,0.0,0.0,0.0,0.0
2012-07-26,5851965.06,4579171.74,3,26,208,30,7,3,2012,0,22,5246688.08,4140019.37,6421487.11,5007270.91,5734632.02,4458811.27,,,,,,,,,,,4603766.721428571,1145375.3123940935,3653209.8657142855,4586061.136428571,970672.3666098677,3617708.8164285715,4296781.791818182,1144979.0881090472,3381208.6677272725,4296781.791818182,1144979.0881090472,3381208.6677272725,4296781.791818182,1144979.0881090472,3381208.6677272725,,,,4538503.098774188,4576316.261173511,0.0,0.0,0.0,0.0
2012-07-27,5156699.45,3989402.2,4,27,209,30,7,3,2012,0,23,5851965.06,4579171.74,5171470.46,4213989.64,5309511.71,4143402.78,,,,,,,,,,,4522406.428571428,1006550.4489806435,3592052.8414285714,4594442.0678571435,981794.9524237954,3626305.992857143,4364398.455652175,1164707.4944874533,3433294.0186956525,4364398.455652175,1164707.4944874533,3433294.0186956525,4364398.455652175,1164707.4944874533,3433294.0186956525,,,,4866868.589080641,4658616.183678446,0.0,0.0,0.0,0.0
2012-07-28,4326956.84,3403662.59,5,28,210,30,7,3,2012,1,24,5156699.45,3989402.2,3442157.02,2746075.45,3820831.41,3075464.87,,,,,,,,,,,4520296.284285714,1004977.2127794027,3559968.921428572,4583526.906428571,974052.5207777997,3615305.9514285713,4397410.997083333,1150529.992163876,3456465.1929166666,4397410.997083333,1150529.992163876,3456465.1929166666,4397410.997083333,1150529.992163876,3456465.1929166666,,,,4939326.304310481,4690750.5879572565,0.0,0.0,0.0,0.0
2012-07-29,4804199.65,3819645.91,6,29,211,30,7,3,2012,1,25,4326956.84,3403662.59,3117550.57,2531656.38,3948841.28,3154482.05,,,,,,,,,,,4646696.258571428,896570.5384278942,3653909.9414285715,4619678.722857143,952726.6335312059,3638748.645714286,4394592.8308,1126393.7344962594,3454353.0888,4394592.8308,1126393.7344962594,3454353.0888,4394592.8308,1126393.7344962594,3454353.0888,,,,4786233.9382328605,4667280.023572918,0.0,0.0,0.0,0.0
2012-07-30,6586130.95,5195109.56,0,30,212,31,7,3,2012,0,26,4804199.65,3819645.91,4730517.69,3685006.66,3503801.49,2708219.59,,,,,,,,,,,4887646.127142857,592052.2625500921,3837908.445714286,4680775.749285715,933632.6794587374,3686260.3500000006,4410346.939230769,1106555.6115946418,3468402.8126923074,4410346.939230769,1106555.6115946418,3468402.8126923074,4410346.939230769,1106555.6115946418,3468402.8126923074,,,,4790725.366174646,4676113.547858536,0.0,0.0,0.0,0.0
2012-07-31,9151622.14,7142891.18,1,31,213,31,7,3,2012,0,27,6586130.95,5195109.56,4096496.12,3248450.65,4476729.49,3463061.65,,,,,,,,,,,5152733.735714287,863270.5790320875,4053637.431428571,4900942.139285714,996076.7048723588,3863895.347857143,4490931.532222223,1163058.5412768633,3532354.9144444442,4490931.532222223,1163058.5412768633,3532354.9144444442,4490931.532222223,1163058.5412768633,3532354.9144444442,,,,5239576.762130984,4799340.477028953,0.0,0.0,0.0,0.0
2012-08-01,9148357.3,7308514.33,2,1,214,31,8,3,2012,0,28,9151622.14,7142891.18,5246688.08,4140019.37,5184141.46,4072012.16,5123547.94,3982991.19,,,,,,,,,5874894.595714286,1617419.3937052812,4609986.078571429,5234863.042857143,1499371.000035909,4126740.314285714,4657384.768214286,1441662.9330609234,3661302.638214286,4657384.768214286,1441662.9330609234,3661302.638214286,4657384.768214286,1441662.9330609234,3661302.638214286,,,,6217588.106598238,5080132.842381924,0.0,0.0,0.0,0.0
2012-08-02,9692427.0,7537501.15,3,2,215,31,8,3,2012,0,29,9148357.3,7308514.33,5851965.06,4579171.74,6421487.11,5007270.91,2751773.45,2150580.23,,,,,,,,,6432275.912857143,1993425.4476431636,5062628.215714285,5518021.317142857,1827479.101223342,4357919.040714285,4801127.959642857,1672097.502643907,3780071.3217857145,4812245.89,1643058.3588479345,3787068.55862069,4812245.89,1643058.3588479345,3787068.55862069,,,,6950280.404948679,5342598.9364218,0.0,0.0,0.0,0.0
2012-08-03,9297269.95,7118808.46,4,3,216,31,8,3,2012,0,30,9692427.0,7537501.15,5156699.45,3989402.2,5171470.46,4213989.64,3054029.42,2517632.84,5123547.94,3982991.19,,,,,,,6980913.332857142,2310385.0107198316,5485246.702857143,5751659.880714285,2135074.0019436525,4538649.772142857,5049008.443571429,1860844.8042702263,3972461.354642857,4974918.593666667,1844023.3092540554,3912082.978333333,4974918.593666667,1844023.3092540554,3912082.978333333,4974918.593666667,1844023.3092540554,3912082.978333333,7635817.053711509,5623233.005039749,0.0,0.0,0.0,0.0
2012-08-04,6384195.03,5087528.11,5,4,217,31,8,3,2012,1,31,9297269.95,7118808.46,4326956.84,3403662.59,3442157.02,2746075.45,2667930.94,2108246.62,2751773.45,2150580.23,,,,,,,7572423.404285714,2295496.8932570275,5932304.74,6046359.844285714,2325111.9238434914,4746136.830714286,5271981.319642858,1982981.1324645393,4136789.055357143,5114042.660666666,2005958.3862320203,4016610.220666667,5114349.282580645,1972243.137541201,4015525.7358064516,5114349.282580645,1972243.137541201,4015525.7358064516,8051180.277783631,5860267.646650087,0.0,0.0,0.0,0.0
2012-08-05,2359224.19,1863413.11,6,5,218,31,8,3,2012,1,32,6384195.03,5087528.11,4804199.65,3819645.91,3117550.57,2531656.38,2360851.9,1808622.79,3054029.42,2517632.84,,,,,,,7866314.574285715,1910063.9270562544,6172856.957142858,6256505.4164285725,2201291.4908683244,4913383.449285715,5404705.037142857,1925775.33408246,4243191.965714286,5235123.38,1967716.6652938,4114508.4833333334,5154031.9621875,1953115.0235163618,4049025.81,5154031.9621875,1953115.0235163618,4049025.81,7634433.965837724,5894069.413317824,0.0,0.0,0.0,0.0
2012-08-06,3630003.7,2922718.71,0,6,219,32,8,3,2012,0,33,2359224.19,1863413.11,6586130.95,5195109.56,4730517.69,3685006.66,3548386.46,2787841.68,2667930.94,2108246.62,,,,,,,7517032.365714286,2645359.947002691,5893395.128571429,6202339.246428572,2291935.4057776215,4865651.787142857,5404646.904642858,1925870.64278421,4245148.762857143,5211963.205666666,1998127.492824161,4092701.159,5069340.817575757,1982963.8656718521,3982795.122121212,5069340.817575757,1982963.8656718521,3982795.122121212,6315631.521878293,5666014.882781191,0.0,0.0,0.0,0.0
2012-08-07,2240253.44,1781265.84,1,7,220,32,8,3,2012,0,34,3630003.7,2922718.71,9151622.14,7142891.18,4096496.12,3248450.65,5234938.62,4044438.84,2360851.9,1808622.79,,,,,,,7094728.472857143,3027144.029501683,5568767.864285714,6123731.104285715,2364037.043583211,4811202.647857143,5407561.806071429,1923016.6939738553,4249965.799642857,5244032.297666667,1963305.918498959,4119850.2286666664,5027007.372941176,1968228.1017859853,3951616.4041176476,5027007.372941176,1968228.1017859853,3951616.4041176476,5644224.566408719,5534659.32260176,0.0,0.0,0.0,0.0
2012-08-08,2617553.36,1997006.42,2,8,221,32,8,3,2012,0,35,2240253.44,1781265.84,9148357.3,7308514.33,5246688.08,4140019.37,5582884.78,4338313.07,3548386.46,2787841.68,,,,,,,6107390.087142857,3353924.6295311223,4802821.387142858,5991142.341428571,2532531.7984430543,4706403.732857143,5300608.763928571,2014094.4971607167,4169138.1925,5240012.349,1969526.5244025954,4118938.330333333,4947385.832,1995462.0078493138,3889606.3880000003,4947385.832,1995462.0078493138,3889606.3880000003,4793231.784806539,5322117.0075951945,0.0,0.0,0.0,0.0
2012-08-09,4478691.52,3621672.71,3,9,222,32,8,3,2012,0,36,2617553.36,1997006.42,9692427.0,7537501.15,5851965.06,4579171.74,5734632.02,4458811.27,5234938.62,4044438.84,,,,,,,5174418.095714286,3274428.300186271,4044034.5428571436,5803347.004285715,2684878.972472838,4553331.379285715,5194704.070357143,2075720.6103498528,4085520.097857143,5208984.578999999,2004123.494928018,4092577.1550000003,4882668.263333333,2004714.9529958307,3837034.1666666665,4882668.263333333,2004714.9529958307,3837034.1666666665,4249312.178604905,5147629.030330989,0.0,0.0,0.0,0.0
2012-08-10,3412496.65,2699279.56,4,10,223,32,8,3,2012,0,37,4478691.52,3621672.71,9297269.95,7118808.46,5156699.45,3989402.2,5309511.71,4143402.78,5582884.78,4338313.07,,,,,,,4429598.741428571,2598705.577580388,3484630.48,5705256.037142857,2707952.9447929272,4484938.591428571,5149849.052500001,2077190.4989240551,4055622.292142857,5183776.342333334,2008537.0314000666,4078484.9506666665,4871749.972972973,1977790.9813346283,3831213.586756757,4871749.972972973,1977790.9813346283,3831213.586756757,4306657.013953678,5104471.771599957,0.0,0.0,0.0,0.0
2012-08-11,2732604.35,2168668.05,5,11,224,32,8,3,2012,1,38,3412496.65,2699279.56,6384195.03,5087528.11,4326956.84,3403662.59,3820831.41,3075464.87,5734632.02,4458811.27,,,,,,,3588916.8414285714,1467008.0290852978,2853269.208571429,5580670.122857143,2774438.919621838,4392786.974285714,5082098.514642857,2102571.8587604254,4004046.4628571426,5111430.071333334,2032609.4482495252,4023850.500333333,4833348.569736842,1965190.5956384705,3801425.849210527,4833348.569736842,1965190.5956384705,3801425.849210527,4083116.922965259,4995312.086335444,0.0,0.0,0.0,0.0
2012-08-12,3388181.83,2654275.25,6,12,225,32,8,3,2012,1,39,2732604.35,2168668.05,2359224.19,1863413.11,4804199.65,3819645.91,3948841.28,3154482.05,5309511.71,4143402.78,,,,,,,3067261.0300000003,809062.50033577,2436289.1999999997,5466787.802142858,2861222.9799452918,4304573.078571429,5043233.262500001,2136532.854842209,3971660.862142857,5011362.482333333,2074338.7760498098,3947512.3929999997,4779483.333333333,1968120.9984239452,3759560.2646153844,4779483.333333333,1968120.9984239452,3759560.2646153844,3745488.779723944,4849330.942055738,0.0,0.0,0.0,0.0
2012-08-13,3928170.01,3189564.96,0,13,226,33,8,3,2012,0,40,3388181.83,2654275.25,3630003.7,2922718.71,6586130.95,5195109.56,3503801.49,2708219.59,3820831.41,3075464.87,,,,,,,3214254.978571429,750323.9548528937,2549269.5057142857,5365643.672142857,2911041.5538900616,4221332.317142857,5023209.710714286,2149755.682194764,3953796.333571428,4947318.153,2094379.437030661,3897874.8086666665,4744700.7957500005,1955140.0823638574,3731928.13925,4744700.7957500005,1955140.0823638574,3731928.13925,3656162.042292958,4755063.257406981,0.0,0.0,0.0,0.0
2012-08-14,4033912.16,3258198.58,1,14,227,33,8,3,2012,0,41,3928170.01,3189564.96,2240253.44,1781265.84,9151622.14,7142891.18,4476729.49,3463061.65,3948841.28,3154482.05,,,,,,,3256850.1657142853,785498.0846902754,2587390.3985714284,5175789.319285714,2911994.2142526344,4078079.131428572,5038365.729285714,2140121.2771300655,3970987.2396428576,4950896.106333333,2092479.4570257878,3901678.1450000005,4724785.410731708,1934753.2008247478,3718699.7690243903,4724785.410731708,1934753.2008247478,3718699.7690243903,3724164.0342197185,4701715.30596137,0.0,0.0,0.0,0.0
2012-08-15,3780293.26,2886923.59,2,15,228,33,8,3,2012,0,42,4033912.16,3258198.58,2617553.36,1997006.42,9148357.3,7308514.33,5184141.46,4072012.16,3503801.49,2708219.59,,,,,,,3513087.125714286,684689.495179207,2798380.79,4810238.606428571,2687035.659308986,3800601.088571429,5022550.824642858,2146053.257562838,3963670.7014285713,4953731.8023333335,2091131.8706407428,3905135.3626666665,4708336.047619048,1913984.0924210546,3707735.4550000005,4708336.047619048,1913984.0924210546,3707735.4550000005,3801601.0656647887,4658631.232028378,0.0,0.0,0.0,0.0
2012-08-16,5249978.18,4222455.97,3,16,229,33,8,3,2012,0,43,3780293.26,2886923.59,4478691.52,3621672.71,9692427.0,7537501.15,6421487.11,5007270.91,4476729.49,3463061.65,,,,,,,3679192.825714286,561111.8273141019,2925511.814285714,4426805.460714286,2386586.042269747,3484773.1785714286,4972413.388928572,2158500.943732933,3921346.109642857,4962948.194666667,2085121.797131014,3911092.162666667,4686753.657209302,1896349.7101986876,3688646.806976744,4686753.657209302,1896349.7101986876,3688646.806976744,3796274.1142485915,4601964.266091064,0.0,0.0,0.0,0.0
2012-08-17,4089284.05,3238908.92,4,17,230,33,8,3,2012,0,44,5249978.18,4222455.97,3412496.65,2699279.56,9297269.95,7118808.46,5171470.46,4213989.64,5184141.46,4072012.16,,,,,,,3789376.634285714,778059.9871780905,3011337.9942857143,4109487.6878571426,1872605.822176277,3247984.237142857,4930573.784285715,2140652.573089934,3893317.004642857,4988723.151,2083682.9255261596,3936405.3066666666,4699554.214545455,1876091.8412142738,3700778.8334090905,4699554.214545455,1876091.8412142738,3700778.8334090905,4159700.1306864433,4643771.615375511,0.0,0.0,0.0,0.0
2012-08-18,3450015.71,2808916.94,5,18,231,33,8,3,2012,1,45,4089284.05,3238908.92,2732604.35,2168668.05,6384195.03,5087528.11,3442157.02,2746075.45,6421487.11,5007270.91,,,,,,,3886060.5485714287,765368.7066113293,3088427.902857143,3737488.695,1134644.6826478923,2970848.555714286,4891924.269642858,2145905.0932847937,3858492.693214286,4952227.904,2089721.5354753644,3908635.198666667,4685992.655333334,1856879.953502192,3690515.057555556,4685992.655333334,1856879.953502192,3690515.057555556,4142096.1105148327,4607998.224060962,0.0,0.0,0.0,0.0
2012-08-19,3904300.93,3006801.4,6,19,232,33,8,3,2012,1,46,3450015.71,2808916.94,3388181.83,2654275.25,2359224.19,1863413.11,3117550.57,2531656.38,5171470.46,4213989.64,,,,,,,3988547.885714286,619258.1397202748,3179892.0300000003,3527904.457857143,841201.9690322201,2808090.6149999998,4892204.937142857,2145708.9572064104,3860737.0321428576,4853178.857333333,2088100.4751148843,3835356.7330000005,4659123.591304348,1845153.2220707808,3671349.8810869567,4659123.591304348,1845153.2220707808,3671349.8810869567,3969076.0103861243,4533289.674766706,0.0,0.0,0.0,0.0
2012-08-20,3541027.32,2827038.81,0,20,233,34,8,3,2012,0,47,3904300.93,3006801.4,3928170.01,3189564.96,3630003.7,2922718.71,4730517.69,3685006.66,3442157.02,2746075.45,,,,,,,4062279.185714286,564134.7176804284,3230252.9085714286,3638267.082142857,774815.7000296476,2889761.207142857,4920303.164285714,2126675.870740766,3877706.4971428565,4810939.873,2094247.293419088,3795117.125,4643063.534680851,1828305.2459958629,3657210.551702128,4643063.534680851,1828305.2459958629,3657210.551702128,3952882.240289593,4492709.7557495,0.0,0.0,0.0,0.0
2012-08-21,4147483.23,3364364.64,1,21,234,34,8,3,2012,0,48,3541027.32,2827038.81,4033912.16,3258198.58,2240253.44,1781265.84,4096496.12,3248450.65,3117550.57,2531656.38,,,,,,,4006973.0871428573,597466.1444912966,3178463.458571429,3631911.6264285715,775253.4870596584,2882926.9285714286,4877821.365357143,2142429.46757847,3847064.7882142854,4814235.549666666,2092095.6792491963,3797815.9036666667,4620104.446874999,1815731.406517774,3639915.3070833334,4620104.446874999,1815731.406517774,3639915.3070833334,3849918.510217195,4431310.888926952,0.0,0.0,0.0,0.0
2012-08-22,4597682.81,3562468.33,2,22,235,34,8,3,2012,0,49,4147483.23,3364364.64,3780293.26,2886923.59,2617553.36,1997006.42,5246688.08,4140019.37,4730517.69,3685006.66,,,,,,,4023197.5257142857,599856.8610691493,3193630.0385714285,3768142.3257142855,672681.8840193328,2996005.4142857147,4879642.333571428,2141762.344968976,3851204.5735714287,4848566.638333334,2071643.7387515355,3825572.8456666665,4610459.115918367,1797986.1282574143,3634291.824081633,4610459.115918367,1797986.1282574143,3634291.824081633,3924309.690162896,4412999.427060697,0.0,0.0,0.0,0.0
2012-08-23,5478869.55,4195738.04,3,23,236,34,8,3,2012,0,50,4597682.81,3562468.33,5249978.18,4222455.97,4478691.52,3621672.71,5851965.06,4579171.74,4096496.12,3248450.65,,,,,,,4139967.461428571,623772.6424724009,3290136.4299999997,3909580.1435714285,618106.8603594387,3107824.1221428574,4856463.573928571,2141154.72392845,3830577.7507142858,4844138.809,2072046.6693576118,3821488.2346666665,4610203.5898,1779545.6746769191,3632855.3542,4610203.5898,1779545.6746769191,3632855.3542,4092652.9701221716,4424914.484024524,0.0,0.0,0.0,0.0
2012-08-24,4637850.57,3632210.67,4,24,237,34,8,3,2012,0,51,5478869.55,4195738.04,4089284.05,3238908.92,3412496.65,2699279.56,5156699.45,3989402.2,5246688.08,4140019.37,,,,,,,4172666.2285714285,693734.3870688606,3286319.5828571427,3981021.431428571,735582.2736237405,3148828.7885714285,4843138.734285714,2135884.5027994323,3816883.6900000004,4890217.923333333,2070217.0432582092,3853064.481,4627236.255686275,1765854.7078293194,3643892.2696078434,4627236.255686275,1765854.7078293194,3643892.2696078434,4439207.115091628,4492911.585055199,0.0,0.0,0.0,0.0
2012-08-25,3589566.28,2784342.75,5,25,238,34,8,3,2012,1,52,4637850.57,3632210.67,3450015.71,2808916.94,2732604.35,2168668.05,4326956.84,3403662.59,5851965.06,4579171.74,,,,,,,4251032.874285714,713449.2465590789,3342505.5471428568,4068546.7114285715,735632.1876576695,3215466.725,4824608.417142858,2135314.0017573605,3804126.8496428574,4869923.339666667,2069586.180394813,3836137.5243333336,4627440.377115385,1748457.3197884252,3643667.623461538,4627440.377115385,1748457.3197884252,3643667.623461538,4488867.978818721,4502262.487309704,0.0,0.0,0.0,0.0
2012-08-26,4280204.53,3476942.48,6,26,239,34,8,3,2012,1,53,3589566.28,2784342.75,3904300.93,3006801.4,3388181.83,2654275.25,4804199.65,3819645.91,5156699.45,3989402.2,,,,,,,4270968.67,688862.1621575912,3338994.9485714287,4129758.277857143,646126.6594253028,3259443.4892857145,4798273.04,2146198.4604525,3782008.2839285717,4794510.047,2073783.108923139,3776309.8913333337,4607857.8469811315,1737422.4465032225,3627453.946603773,4607857.8469811315,1737422.4465032225,3627453.946603773,4264042.554114041,4443378.861031658,0.0,0.0,0.0,0.0
