month,category,segment,product_count,stock_on_hand,units_received,units_sold,stockout_days,avg_days_of_supply,avg_fill_rate,stockout_flag_share,overstock_flag_share,reorder_flag_share,avg_sell_through_rate
2012-12-01,Streetwear,Balanced,52,3446,814,694,66,192.39615384615385,0.9576884615384615,0.75,0.6346153846153846,0.0,0.2146096153846154
2012-12-01,Streetwear,Everyday,93,9520,1346,1144,108,354.3967741935484,0.9612870967741936,0.6774193548387096,0.8172043010752689,0.0,0.15839569892473118
2012-12-01,Streetwear,Performance,53,3255,373,336,60,300.0641509433962,0.9622603773584906,0.7169811320754716,0.7735849056603774,0.0,0.14327169811320756
2012-12-01,Streetwear,Standard,24,487,76,73,21,239.22916666666666,0.9708333333333333,0.5833333333333334,0.7083333333333334,0.0,0.1894583333333333
2013-01-01,Casual,All-weather,17,620,123,108,13,211.48823529411766,0.9745235294117647,0.6470588235294118,0.8235294117647058,0.0,0.1625764705882353
2013-01-01,GenZ,Trendy,15,1523,120,105,20,600.1800000000001,0.9555466666666667,0.8,0.9333333333333333,0.0,0.08646
2013-01-01,Outdoor,Activewear,152,13395,2929,2510,150,191.73684210526315,0.9671052631578947,0.5789473684210527,0.7039473684210527,0.0,0.20354999999999998
2013-01-01,Outdoor,Premium,23,1083,417,358,25,139.45217391304348,0.9637782608695652,0.7391304347826086,0.391304347826087,0.0,0.2401913043478261
2013-01-01,Streetwear,Balanced,50,3577,812,688,61,200.72,0.959332,0.8,0.76,0.0,0.19521
2013-01-01,Streetwear,Everyday,91,9534,1303,1122,90,295.3252747252747,0.9670340659340659,0.6483516483516484,0.8241758241758241,0.0,0.14865164835164835
2013-01-01,Streetwear,Performance,54,3380,420,373,49,319.78888888888883,0.9697537037037037,0.5925925925925926,0.7777777777777778,0.0,0.14424074074074072
2013-01-01,Streetwear,Standard,21,433,80,75,23,232.42857142857142,0.9634809523809524,0.5238095238095238,0.7619047619047619,0.0,0.1821047619047619
2013-02-01,Casual,All-weather,18,644,177,156,19,149.4888888888889,0.9648166666666668,0.6666666666666666,0.6666666666666666,0.0,0.22808333333333333
2013-02-01,GenZ,Trendy,17,1511,156,132,17,410.66470588235296,0.9666588235294117,0.5882352941176471,0.7647058823529411,0.0,0.13433529411764705
2013-02-01,Outdoor,Activewear,160,14042,3790,3210,203,185.70250000000001,0.9577081250000001,0.7,0.65,0.0,0.21866249999999998
2013-02-01,Outdoor,Premium,24,1183,599,505,42,133.72083333333333,0.9416625000000001,0.5833333333333334,0.375,0.0,0.2622
2013-02-01,Streetwear,Balanced,50,3727,943,799,64,165.172,0.95733,0.68,0.58,0.0,0.230784
2013-02-01,Streetwear,Everyday,96,9923,1739,1490,126,244.4125,0.9562499999999999,0.75,0.78125,0.0,0.18393229166666666
2013-02-01,Streetwear,Performance,57,3519,710,609,84,229.1263157894737,0.9508754385964913,0.7894736842105263,0.7543859649122807,0.0,0.1768438596491228
2013-02-01,Streetwear,Standard,21,507,119,106,29,174.6238095238095,0.9539619047619048,0.7619047619047619,0.6190476190476191,0.0,0.22954285714285716
2013-03-01,Casual,All-weather,17,657,213,186,16,185.00588235294117,0.9686294117647058,0.6470588235294118,0.47058823529411764,0.0,0.24034705882352939
2013-03-01,GenZ,Trendy,22,1700,316,271,42,244.3181818181818,0.9363545454545456,0.6363636363636364,0.6818181818181818,0.0,0.18801363636363638
2013-03-01,Outdoor,Activewear,154,14629,3989,3398,193,174.5655844155844,0.9582246753246753,0.7337662337662337,0.6298701298701299,0.0,0.2112512987012987
2013-03-01,Outdoor,Premium,23,1228,507,427,20,156.70869565217393,0.9710173913043478,0.5217391304347826,0.5217391304347826,0.0,0.25141739130434787
2013-03-01,Streetwear,Balanced,51,3959,1123,956,54,145.6980392156863,0.9647098039215687,0.7254901960784313,0.5882352941176471,0.0,0.22971176470588237
2013-03-01,Streetwear,Everyday,99,10322,2952,2508,147,141.35757575757575,0.9505010101010101,0.7777777777777778,0.5757575757575758,0.0,0.24375454545454545
2013-03-01,Streetwear,Performance,64,3747,1209,1051,93,188.734375,0.9515578125,0.671875,0.609375,0.0,0.221678125
2013-03-01,Streetwear,Standard,25,567,151,137,22,156.968,0.970672,0.56,0.68,0.0,0.226316
2013-04-01,Casual,All-weather,17,685,269,233,24,105.06470588235294,0.9529411764705882,0.8235294117647058,0.5294117647058824,0.0,0.27536470588235296
2013-04-01,GenZ,Trendy,21,1758,579,509,40,160.93333333333334,0.9365190476190477,0.6190476190476191,0.6190476190476191,0.0,0.2517333333333333
2013-04-01,Outdoor,Activewear,164,15569,5704,4826,206,134.82743902439026,0.9581341463414635,0.6707317073170732,0.4817073170731707,0.0,0.2586567073170732
2013-04-01,Outdoor,Premium,23,1367,744,622,34,106.86521739130436,0.9507217391304349,0.9565217391304348,0.2608695652173913,0.0,0.29953913043478264
2013-04-01,Streetwear,Balanced,52,4097,1298,1112,54,118.1576923076923,0.9653884615384616,0.7307692307692307,0.4807692307692308,0.0,0.2660480769230769
2013-04-01,Streetwear,Everyday,100,10963,4432,3742,161,94.669,0.9463320000000001,0.71,0.38,0.0,0.304029
2013-04-01,Streetwear,Performance,70,4283,2188,1834,104,124.74714285714285,0.9504800000000001,0.6142857142857143,0.37142857142857144,0.0,0.27427428571428575
2013-04-01,Streetwear,Standard,32,614,242,214,51,113.046875,0.946878125,0.78125,0.3125,0.0,0.288678125
2013-05-01,Casual,All-weather,15,706,266,228,13,106.55333333333333,0.9711066666666667,0.5333333333333333,0.5333333333333333,0.0,0.26370666666666664
2013-05-01,GenZ,Trendy,22,1861,604,502,38,142.8181818181818,0.9424181818181818,0.5454545454545454,0.6363636363636364,0.0,0.24278636363636366
2013-05-01,Outdoor,Activewear,160,16323,5084,4286,173,225.64749999999998,0.9639618750000001,0.6875,0.58125,0.0,0.221495
2013-05-01,Outdoor,Premium,20,1414,559,474,31,135.995,0.94832,0.75,0.5,0.0,0.2399
2013-05-01,Streetwear,Balanced,53,4312,1291,1100,64,149.96415094339622,0.9597415094339623,0.7358490566037735,0.5849056603773585,0.0,0.2334056603773585
2013-05-01,Streetwear,Everyday,102,11634,4157,3530,170,108.75980392156863,0.9444441176470587,0.6862745098039216,0.46078431372549017,0.0,0.2750294117647059
2013-05-01,Streetwear,Performance,71,4626,2031,1688,101,150.61971830985917,0.9525816901408451,0.6901408450704225,0.49295774647887325,0.0,0.25347464788732393
2013-05-01,Streetwear,Standard,31,633,233,210,36,121.12903225806451,0.9612870967741936,0.6451612903225806,0.4838709677419355,0.0,0.2631451612903226
2013-06-01,Casual,All-weather,17,750,225,198,17,120.4235294117647,0.9666705882352941,0.7058823529411765,0.6470588235294118,0.0,0.2280235294117647
2013-06-01,GenZ,Trendy,24,1991,689,600,33,157.60416666666666,0.9541791666666667,0.75,0.5416666666666666,0.0,0.25380416666666666
2013-06-01,Outdoor,Activewear,158,17010,4833,4132,176,218.18734177215188,0.9628708860759494,0.7215189873417721,0.6772151898734177,0.0,0.20562911392405064
2013-06-01,Outdoor,Premium,21,1492,470,397,18,160.42857142857142,0.9714285714285713,0.5238095238095238,0.7142857142857143,0.0,0.23262380952380954
2013-06-01,Streetwear,Balanced,50,4521,1430,1209,47,132.592,0.968672,0.68,0.64,0.0,0.23219599999999999
2013-06-01,Streetwear,Everyday,100,12495,4287,3636,109,155.395,0.9636629999999999,0.56,0.53,0.0,0.25958200000000003
2013-06-01,Streetwear,Performance,71,4983,1793,1513,86,202.34788732394367,0.9596239436619719,0.6619718309859155,0.4647887323943662,0.0,0.22754366197183098
2013-06-01,Streetwear,Standard,29,667,239,205,32,115.36206896551724,0.9632137931034482,0.6896551724137931,0.4482758620689655,0.0,0.24686896551724138
2013-07-01,Casual,All-weather,15,771,216,188,16,126.14666666666668,0.9644466666666667,0.7333333333333333,0.8,0.0,0.21130666666666667
2013-07-01,GenZ,Trendy,29,2081,669,580,45,120.84482758620689,0.9482758620689655,0.5862068965517241,0.5172413793103449,0.0,0.2650206896551724
2013-07-01,Outdoor,Activewear,148,17542,4449,3746,172,247.86891891891892,0.9612567567567567,0.7297297297297297,0.7702702702702703,0.0,0.18514324324324324
2013-07-01,Outdoor,Premium,21,1547,406,354,28,168.44761904761904,0.9555428571428572,0.7619047619047619,0.6190476190476191,0.0,0.2014047619047619
2013-07-01,Streetwear,Balanced,56,4781,1325,1157,48,148.62142857142857,0.9714303571428572,0.5892857142857143,0.6071428571428571,0.0,0.2150517857142857
2013-07-01,Streetwear,Everyday,101,12971,4109,3492,116,129.780198019802,0.9617108910891089,0.6732673267326733,0.6138613861386139,0.0,0.24111881188118814
2013-07-01,Streetwear,Performance,65,5143,1615,1378,76,191.5723076923077,0.9610307692307692,0.6923076923076923,0.5692307692307692,0.0,0.2172646153846154
2013-07-01,Streetwear,Standard,34,704,232,202,38,132.5970588235294,0.9627411764705883,0.7058823529411765,0.4117647058823529,0.0,0.25346176470588233
2013-08-01,Casual,All-weather,16,811,226,195,11,122.60625,0.97709375,0.5625,0.6875,0.0,0.2096
2013-08-01,GenZ,Trendy,23,2179,905,761,52,107.17391304347827,0.9246347826086957,0.8695652173913043,0.5652173913043478,0.0,0.2931739130434783
2013-08-01,Outdoor,Activewear,142,18328,5041,4228,144,253.01549295774646,0.9661964788732396,0.6690140845070423,0.7887323943661971,0.0,0.16871901408450704
2013-08-01,Outdoor,Premium,20,1576,422,358,23,248.29000000000002,0.961665,0.75,0.7,0.0,0.19687
2013-08-01,Streetwear,Balanced,54,5009,1488,1257,53,166.25185185185185,0.967287037037037,0.6851851851851852,0.5925925925925926,0.0,0.2140722222222222
2013-08-01,Streetwear,Everyday,104,13749,4152,3488,120,138.68557692307692,0.9615374999999999,0.625,0.6346153846153846,0.0,0.2317173076923077
2013-08-01,Streetwear,Performance,72,5494,1683,1425,85,204.67361111111111,0.9606472222222222,0.5416666666666666,0.625,0.0,0.21917638888888888
2013-08-01,Streetwear,Standard,32,719,235,212,40,117.55,0.9583375000000001,0.71875,0.375,0.0,0.265253125
2013-09-01,Casual,All-weather,17,842,201,173,18,186.00588235294117,0.9646999999999999,0.6470588235294118,0.7058823529411765,0.0,0.19538823529411764
2013-09-01,GenZ,Trendy,26,2274,454,384,23,196.2346153846154,0.9705153846153846,0.6153846153846154,0.5769230769230769,0.0,0.20748076923076922
2013-09-01,Outdoor,Activewear,148,18764,3542,2980,138,281.9952702702703,0.9689162162162162,0.5945945945945946,0.7905405405405406,0.0,0.1719668918918919
2013-09-01,Outdoor,Premium,25,1705,395,339,26,252.176,0.9653360000000001,0.68,0.8,0.0,0.18154800000000001
2013-09-01,Streetwear,Balanced,56,5225,1202,1013,57,201.1875,0.966075,0.6964285714285714,0.8035714285714286,0.0,0.19018214285714286
2013-09-01,Streetwear,Everyday,105,14068,2571,2209,141,203.61238095238093,0.9552333333333333,0.7047619047619048,0.8285714285714286,0.0,0.18155619047619048
2013-09-01,Streetwear,Performance,74,5580,961,829,63,243.5581081081081,0.9716297297297297,0.6486486486486487,0.6891891891891891,0.0,0.1756054054054054
2013-09-01,Streetwear,Standard,34,775,203,180,29,143.35,0.9715735294117648,0.6176470588235294,0.6764705882352942,0.0,0.22935882352941175
2013-10-01,Casual,All-weather,18,866,164,144,18,206.57777777777778,0.9666611111111111,0.6111111111111112,0.7777777777777778,0.0,0.1671388888888889
2013-10-01,GenZ,Trendy,25,2298,277,243,23,317.332,0.969332,0.6,0.72,0.0,0.163396
2013-10-01,Outdoor,Activewear,148,19225,3430,2916,227,284.1155405405405,0.9488722972972973,0.6891891891891891,0.777027027027027,0.0,0.16861554054054056
2013-10-01,Outdoor,Premium,25,1820,425,367,24,214.172,0.967996,0.6,0.72,0.0,0.19248
2013-10-01,Streetwear,Balanced,57,5341,1024,873,98,236.80701754385964,0.9426912280701755,0.8070175438596491,0.7543859649122807,0.0,0.18780175438596491
2013-10-01,Streetwear,Everyday,107,14304,1909,1658,136,299.8523364485981,0.957629906542056,0.7102803738317757,0.8037383177570093,0.0,0.15319158878504674
2013-10-01,Streetwear,Performance,65,5574,634,556,62,444.2415384615385,0.9682076923076923,0.6,0.8307692307692308,0.0,0.14458153846153846
2013-10-01,Streetwear,Standard,29,733,108,101,25,257.86206896551727,0.9712689655172414,0.6206896551724138,0.7241379310344828,0.0,0.17632758620689656
2013-11-01,Casual,All-weather,16,863,117,102,23,286.3125,0.9520875,1.0,0.875,0.0,0.13300625
2013-11-01,GenZ,Trendy,22,2262,156,137,18,646.8909090909091,0.9727363636363635,0.6363636363636364,0.7727272727272727,0.0,0.14327272727272727
2013-11-01,Outdoor,Activewear,154,20164,3984,3422,299,376.2090909090909,0.9352818181818182,0.6558441558441559,0.7857142857142857,0.0,0.17972272727272726
2013-11-01,Outdoor,Premium,24,1831,379,322,25,215.39166666666665,0.9652791666666666,0.625,0.7083333333333334,0.0,0.2256625
2013-11-01,Streetwear,Balanced,51,5282,707,605,71,429.80392156862746,0.9536,0.7647058823529411,0.8235294117647058,0.0,0.14837450980392156
2013-11-01,Streetwear,Everyday,107,14353,1259,1088,113,548.1299065420561,0.9647953271028038,0.6728971962616822,0.8037383177570093,0.0,0.124503738317757
2013-11-01,Streetwear,Performance,59,5376,407,357,64,437.73220338983054,0.9638372881355932,0.6440677966101694,0.7796610169491526,0.0,0.13280338983050846
2013-11-01,Streetwear,Standard,26,682,87,81,22,323.8115384615385,0.9718038461538462,0.6538461538461539,0.7307692307692307,0.0,0.1632730769230769
2013-12-01,Casual,All-weather,16,869,141,121,13,235.84375,0.97291875,0.5625,0.9375,0.0,0.12901875000000002
2013-12-01,GenZ,Trendy,24,2320,303,257,35,323.97083333333336,0.9513791666666668,0.875,0.8333333333333334,0.0,0.14376666666666668
2013-12-01,Outdoor,Activewear,158,21842,10158,8588,471,216.75379746835443,0.9006316455696203,0.740506329113924,0.620253164556962,0.0,0.2482278481012658
2013-12-01,Outdoor,Premium,22,1907,586,503,27,177.93636363636364,0.9590863636363637,0.5,0.5909090909090909,0.0,0.2570272727272727
2013-12-01,Streetwear,Balanced,53,5392,771,658,52,509.44716981132075,0.9672981132075472,0.6226415094339622,0.8113207547169812,0.0,0.15370188679245284
2013-12-01,Streetwear,Everyday,106,14522,1398,1198,106,635.3877358490566,0.9666716981132076,0.6792452830188679,0.8207547169811321,0.0,0.12600471698113208
2013-12-01,Streetwear,Performance,68,5547,445,388,65,457.28382352941173,0.968139705882353,0.6617647058823529,0.8088235294117647,0.0,0.1362029411764706
2013-12-01,Streetwear,Standard,29,728,90,86,33,309.11034482758623,0.9620655172413792,0.7241379310344828,0.6551724137931034,0.0,0.16813103448275862
2014-01-01,Casual,All-weather,17,908,109,98,19,377.9117647058824,0.9627470588235295,0.7647058823529411,0.8823529411764706,0.0,0.11657058823529412
2014-01-01,GenZ,Trendy,20,2306,175,151,25,614.6600000000001,0.9583349999999999,0.8,0.85,0.0,0.11026
2014-01-01,Outdoor,Activewear,156,22222,3391,2888,187,440.0852564102564,0.9600435897435897,0.6858974358974359,0.8397435897435898,0.0,0.14353205128205127
2014-01-01,Outdoor,Premium,24,1948,302,267,36,244.9,0.9500000000000001,0.7916666666666666,0.75,0.0,0.18419583333333334
2014-01-01,Streetwear,Balanced,46,5038,676,584,47,364.89565217391305,0.9659434782608696,0.6956521739130435,0.7391304347826086,0.0,0.16135434782608696
2014-01-01,Streetwear,Everyday,99,14205,1279,1112,98,630.6262626262626,0.9670050505050506,0.6565656565656566,0.8080808080808081,0.0,0.1306989898989899
2014-01-01,Streetwear,Performance,60,5581,416,368,54,584.135,0.9700066666666667,0.6666666666666666,0.7666666666666667,0.0,0.12790333333333334
2014-01-01,Streetwear,Standard,21,531,56,55,20,300.2666666666667,0.968252380952381,0.6190476190476191,0.7142857142857143,0.0,0.1761904761904762
2014-02-01,Casual,All-weather,15,883,113,98,18,316.9533333333333,0.9599933333333334,0.7333333333333333,1.0,0.0,0.10797333333333332
2014-02-01,GenZ,Trendy,21,2297,230,196,30,471.33809523809526,0.9523761904761905,0.6190476190476191,0.7142857142857143,0.0,0.16625714285714285
2014-02-01,Outdoor,Activewear,160,23138,3431,2910,184,446.82624999999996,0.961665,0.65625,0.8,0.0,0.15368625
2014-02-01,Outdoor,Premium,23,2025,307,262,30,293.26521739130436,0.9565217391304348,0.8695652173913043,0.8260869565217391,0.0,0.14104347826086955
2014-02-01,Streetwear,Balanced,49,5280,828,704,39,416.1204081632653,0.9734653061224489,0.4897959183673469,0.673469387755102,0.0,0.1920142857142857
2014-02-01,Streetwear,Everyday,107,14633,1810,1536,135,551.2130841121495,0.9579439252336449,0.7476635514018691,0.7476635514018691,0.0,0.15453364485981308
2014-02-01,Streetwear,Performance,63,5767,778,666,63,365.7063492063492,0.9666714285714286,0.6825396825396826,0.7619047619047619,0.0,0.15876349206349208
2014-02-01,Streetwear,Standard,26,727,108,100,24,277.05384615384617,0.969226923076923,0.5769230769230769,0.7307692307692307,0.0,0.1730076923076923
2014-03-01,Casual,All-weather,16,950,196,173,13,238.98125,0.97291875,0.5625,0.75,0.0,0.1623125
2014-03-01,GenZ,Trendy,27,2529,379,325,34,338.68148148148146,0.9580222222222223,0.8148148148148148,0.7037037037037037,0.0,0.19965185185185186
2014-03-01,Outdoor,Activewear,156,23594,4460,3824,154,339.6865384615385,0.9670967948717948,0.6410256410256411,0.75,0.0,0.17771923076923077
2014-03-01,Outdoor,Premium,24,2056,434,371,18,240.4625,0.9750041666666666,0.5416666666666666,0.75,0.0,0.17845416666666666
2014-03-01,Streetwear,Balanced,48,5215,1269,1091,70,257.91249999999997,0.9513895833333333,0.6458333333333334,0.7083333333333334,0.0,0.20611458333333332
2014-03-01,Streetwear,Everyday,110,15376,3464,2926,201,365.21363636363634,0.939089090909091,0.7090909090909091,0.6545454545454545,0.0,0.2195090909090909
2014-03-01,Streetwear,Performance,74,5968,1464,1243,88,207.86216216216215,0.9603594594594593,0.6891891891891891,0.6486486486486487,0.0,0.20311216216216216
2014-03-01,Streetwear,Standard,26,711,128,113,25,230.3923076923077,0.96795,0.6538461538461539,0.6538461538461539,0.0,0.16371153846153846
2014-04-01,Casual,All-weather,18,1039,382,328,21,138.47222222222223,0.9611222222222222,0.6666666666666666,0.6111111111111112,0.0,0.2373611111111111
2014-04-01,GenZ,Trendy,29,2610,665,563,51,175.12413793103448,0.9413793103448276,0.7586206896551724,0.5517241379310345,0.0,0.2660448275862069
2014-04-01,Outdoor,Activewear,160,24592,5893,4974,174,263.72375,0.96375125,0.65,0.6625,0.0,0.20729000000000003
2014-04-01,Outdoor,Premium,26,2136,579,501,42,172.32692307692307,0.94615,0.7307692307692307,0.6538461538461539,0.0,0.23686923076923078
2014-04-01,Streetwear,Balanced,51,5700,1793,1506,74,298.856862745098,0.9516392156862745,0.7254901960784313,0.5490196078431373,0.0,0.2431235294117647
2014-04-01,Streetwear,Everyday,113,16283,5129,4320,219,424.8115044247787,0.9353973451327433,0.6991150442477876,0.5752212389380531,0.0,0.25374690265486727
2014-04-01,Streetwear,Performance,80,6559,2472,2061,149,183.13125,0.9379099999999999,0.75,0.525,0.0,0.26114875
2014-04-01,Streetwear,Standard,35,832,218,198,47,159.26285714285714,0.9552285714285714,0.8,0.6,0.0,0.23178285714285718
2014-05-01,Casual,All-weather,18,1095,375,323,16,141.83333333333334,0.9703777777777778,0.6666666666666666,0.6111111111111112,0.0,0.23882777777777775
2014-05-01,GenZ,Trendy,28,2765,863,732,51,164.14642857142857,0.9392857142857143,0.75,0.4642857142857143,0.0,0.28274285714285713
2014-05-01,Outdoor,Activewear,168,25457,5545,4700,219,431.44940476190476,0.9565416666666667,0.7380952380952381,0.7857142857142857,0.0,0.1864482142857143
2014-05-01,Outdoor,Premium,27,2233,544,460,53,161.9814814814815,0.9345592592592593,0.7037037037037037,0.6666666666666666,0.0,0.2388259259259259
2014-05-01,Streetwear,Balanced,47,5865,1517,1298,57,362.91914893617025,0.9595702127659574,0.6382978723404256,0.574468085106383,0.0,0.22303617021276595
2014-05-01,Streetwear,Everyday,115,17310,5151,4297,155,456.10782608695655,0.9550747826086957,0.6521739130434783,0.6,0.0,0.2342217391304348
2014-05-01,Streetwear,Performance,72,6942,2627,2224,132,213.05694444444444,0.9388888888888888,0.75,0.5416666666666666,0.0,0.25535694444444446
2014-05-01,Streetwear,Standard,32,832,203,179,34,182.0125,0.9645781250000001,0.65625,0.5625,0.0,0.227390625
2014-06-01,Casual,All-weather,19,1156,287,248,20,217.31578947368422,0.964921052631579,0.7894736842105263,0.7894736842105263,0.0,0.19396842105263157
2014-06-01,GenZ,Trendy,31,2927,765,640,42,152.44838709677418,0.9548387096774194,0.7096774193548387,0.5483870967741935,0.0,0.2620548387096774
2014-06-01,Outdoor,Activewear,166,26390,4384,3660,166,623.9554216867471,0.9666644578313253,0.6445783132530121,0.8614457831325302,0.0,0.1422933734939759
2014-06-01,Outdoor,Premium,26,2302,353,302,26,345.3576923076923,0.9666692307692308,0.6923076923076923,0.8076923076923077,0.0,0.17871153846153845
2014-06-01,Streetwear,Balanced,49,6088,1491,1238,45,329.365306122449,0.9693897959183674,0.6326530612244898,0.6122448979591837,0.0,0.19463061224489797
2014-06-01,Streetwear,Everyday,107,16735,4404,3701,123,340.8663551401869,0.9616822429906543,0.6355140186915887,0.6542056074766355,0.0,0.21940560747663554
